Brand,Perfume,Gender,Rating Value,Rating Count,Year,Main Accords,Top,Middle,Base,Perfumer1,url
Sultan Pasha Attars,Resine Precieux,unisex,89,32,2015.0,"['Amber', 'Sweet', 'Animalic', 'Balsamic', 'Musky']","['Myrtle', 'Asafoetida']","['Beeswax', 'Incense', 'Tobacco', 'Honey', 'Cumin', 'Bourbon Vanilla']","['Opoponax', 'Tolu Balsam', 'Hyrax', 'Black Amber', 'Raspberry', 'Siam Benzoin', 'Civet', 'Castoreum', 'Amber', 'Tonka Bean']",Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Resine-Precieux-43233.html
Sultan Pasha Attars,Reve Narcotique Grade 2,unisex,89,28,2015.0,"['Amber', 'White Floral', 'Animalic', 'Powdery', 'Sweet']","['Tuberose', 'Gardenia', 'Ylang-Ylang', 'Heliotrope']","['Honey', 'Caraway', 'Damask Rose', 'Nutmeg']","['Tolu Balsam', 'Resins', 'Beeswax', 'Black Amber', 'Ambergris', 'Tobacco', 'Civet', 'Musk', 'Castoreum', 'Sandalwood', 'Palisander Rosewood']",Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Reve-Narcotique-Grade-2-43234.html
Sultan Pasha Attars,Seduire,unisex,100,1,,"['Amber', 'White Floral', 'Floral', 'Fresh', 'Aromatic']","['Olibanum', 'Lemon', 'Rose', 'Clary Sage']","['May Rose', 'Jasmine', 'Honey', 'Lilac', 'Lily-Of-The-Valley']","['Agarwood (Oud)', 'Incense', 'Ambergris', 'White Musk']",,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Seduire-51335.html
Sultan Pasha Attars,Shadee,unisex,85,13,2012.0,"['White Floral', 'Warm Spicy', 'Woody', 'Tuberose', 'Powdery']","['Gardenia', 'Jasmine Sambac']","['Tuberose', 'Jasmine', 'Taif Rose']","['Turmeric', 'Sandalwood', 'Musk', 'Patchouli']",,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Shadee-43235.html
Sultan Pasha Attars,Shamamah,unisex,86,14,2014.0,"['Warm Spicy', 'Amber', 'Woody', 'Aromatic', 'Patchouli']",[],[],[],Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Shamamah-43236.html
Sultan Pasha Attars,Sohan d Iris,unisex,91,29,2016.0,"['Floral', 'Sweet', 'Powdery', 'Honey', 'Almond']","['Orris Root', 'Bitter Almond', 'Heliotrope', 'Saffron']","['Osmanthus', 'Chocolate', 'Opoponax']","['Honey', 'Tonka Bean', 'Sandalwood', 'Ambergris', 'Musk']",Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Sohan-d-Iris-43237.html
Sultan Pasha Attars,Tabac Grande,unisex,92,89,2016.0,"['Warm Spicy', 'Sweet', 'Tobacco', 'Amber', 'Musky']","['Tobacco', 'Cognac', 'Coffee', 'Saffron', 'Hawthorn']","['Tonka Bean', 'Cacao', 'Osmanthus', 'Damask Rose', 'Jasmine', 'Heliotrope']","['Hay', 'Tonka Bean', 'Immortelle', 'Agarwood (Oud)', 'Civet', 'Hyrax', 'Vanilla', 'Amber', 'Ambergris', 'Musk', 'Castoreum', 'Virginian Cedar', 'Himalayan Cedar', 'Juniper']",Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Tabac-Grande-43238.html
Sultan Pasha Attars,Tabacaurum,unisex,90,25,2019.0,"['Warm Spicy', 'Floral', 'Woody', 'Tobacco', 'Sweet']","['Tobacco', 'Saffron', 'Jasmine Sambac', 'Orange Blossom']","['Tobacco', 'Carnation', 'Cambodian Oud', 'Osmanthus', 'Orris', 'Orange Blossom', 'Tuberose', 'Ylang-Ylang']","['Honey', 'Tobacco', 'Siam Benzoin', 'Indian Oud', 'Ambrette (Musk Mallow)', 'Sandalwood', 'White Amber']",Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Tabacaurum-64540.html
Sultan Pasha Attars,Thebes Grade 1,unisex,86,61,2016.0,"['White Floral', 'Animalic', 'Iris', 'Earthy', 'Amber']","['Lily-Of-The-Valley', 'Aldehydes', 'Rose', 'Bergamot']","['Iris', 'Jasmine', 'Bulgarian Rose', 'Musk']","['Vetiver', 'Animal Notes', 'Ambergris', 'Musk', 'Amber']",Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Thebes-Grade-1-43239.html
Sultan Pasha Attars,Truffe Blanche,unisex,90,16,2017.0,"['Amber', 'Woody', 'Animalic', 'Citrus', 'Powdery']","['Birch', 'Lemon', 'Spices', 'Lavender', 'Bergamot', 'Blood Orange']","['Truffle', 'Damask Rose', 'Jasmine', 'Orris']","['Ambergris', 'Honey', 'Tonka Bean', 'Civet', 'Sandalwood', 'Guaiac Wood', 'Siam Benzoin', 'Tahitian Vanilla', 'Madagascar Vanilla', 'Musk', 'Opoponax', 'Patchouli']",,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Truffe-Blanche-51336.html
Sultan Pasha Attars,Truffe Noire,unisex,82,8,2017.0,"['Amber', 'Woody', 'Balsamic', 'Warm Spicy', 'Citrus']","['Lemon', 'Clary Sage', 'Bergamot', 'Lavender']","['Damask Rose', 'Jasmine', 'Lavender', 'Violet Leaf', 'Lily-Of-The-Valley']","['Opoponax', 'Siam Benzoin', 'Ambergris', 'Civet', 'Sandalwood', 'Musk', 'Patchouli', 'Guaiac Wood', 'Tonka Bean', 'Oakmoss', 'Spices']",,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Truffe-Noire-51337.html
Sultan Pasha Attars,Turath,unisex,82,9,,['Rose'],[],[],[],Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Turath-82528.html
Sultan Pasha Attars,Turath Santal,unisex,90,8,2023.0,"['Rose', 'Powdery']",[],[],[],Sultan Pasha,https://www.fragrantica.com/perfume/Sultan-Pasha-Attars/Turath-Santal-82529.html
